name,address,cuisine,opening_hours,latitude,longitude
Chez Janny,Rue Beaunier 75014,asian,"18:00-22:30, Mo-Sa 11:00-15:00",48.8245547,2.3282843
Street Point,Rue Beaunier 75014,burger;chicken;kebab;sandwich,11:00-00:00,48.8245871,2.3263627
Les Petits Parisiens,Avenue Jean Moulin 75014,french,"Mo-Fr 12:00-14:00,19:00-22:30",48.8249015,2.320376
Butte aux Thaï,Rue des Cinq Diamants,thai,"Tu-Su 12:00-14:30,19:00-22:30",48.8281338,2.3500786
Ikko,Avenue Claude Vellefaux,japanese,"Mo-Su 12:00-15:00,19:00-23:00",48.8751593,2.3701002
Crazy Noodles,Avenue de Choisy,noodle,"PH,Mo-Su 11:30-14:30,18:30-22:30",48.8300676,2.3566379
Krishna Bhavan,Rue Galande 75005,indian,Mo-Su 11:30-23:00,48.8511454,2.3477993
Bistroy… les Papilles,Rue Gay-Lussac 75005,french,Tu-Su 09:30-24:00,48.8446336,2.3417051
Café de la Nouvelle Mairie,Rue des Fossés Saint-Jacques 75005,french,Mo-Fr 08:00-24:00,48.8454582,2.3447912
Crêperie Le Petit Josselin,Rue du Montparnasse 75006,crepe;pancake,"Mo-Sa 12:00-15:00, 19:00-23:00; Su off",48.8419273,2.3255444
Konvives,Rue de la Jonquière 75017,french,"Mo-Fr 12:00-14:00,19:00-23:00",48.894695,2.3193622
Le Procope,Rue de l'Ancienne Comédie 75006,french,Th-Su 11:30-24:00,48.8530641,2.3387326
Asian Touch,Rue Saint-Maur,marocco,"Tu-Fr 12:00-15:00, 18:30-22:30; Sa 12:00-15:00, 19:00-23:00; Su 10:30-15:00",48.8726847,2.3710038
Le Quincy,Avenue Ledru-Rollin 75012,regional,"Mo-Sa 12:00-15:00,19:00-22:00",48.8470348,2.3700906
À la frégate,Avenue Ledru-Rollin 75012,fish,"Mo-Fr 12:00-14:30,19:00-22:30",48.8471308,2.370266
Les Petites Bulles,Rue Simart 75018,french,"Mo-We 11:00-13:30,17:00-20:30",48.8904978,2.3481826
Le Bistrot de Lyon,Rue Michel Chasles 75012,french,Mo-Su 09:00-22:00,48.8466233,2.3740562
Toritcho,Rue du Montparnasse 75014,japanese,"Tu-Sa 12:00-14:20, Tu-Su 19:00-22:20",48.8425193,2.3260648
Flam's,Rue Saint-Lazare 75009,regional;alsatian;flammkuchen,"Mo-Fr 11:30-15:00, 18:30-23:00; Sa 11:45-00:00",48.8756169,2.3280376
Douraku,Rue de Compiègne 75010,asian,"Mo-Su 18:30-22:00, Mo-Sa 11:30-15:30",48.8798133,2.3536832
Le Cochon à l'Oreille,Rue Montmartre 75001,french,"Tu-Su 12:15-15:00,19:00-23:00",48.8644516,2.3451744
Le Charolais,Rue de Cotte,regional,Mo-Sa 06:00-22:00,48.8493078,2.3774714
Perchiana,Rue Mademoiselle 75015,persian,Mo-Su 10:00-23:00,48.843649,2.2939839
Les Petites Canailles,Rue Amelot 75011,french,Mo-Su 08:00-02:00,48.8607123,2.3679772
Crêperie de Cluny,Rue de la Harpe,french,Mo-Su 11:30-00:30,48.8521893,2.344248
MONK La Taverne de Cluny,Rue de la Harpe 75005,french,"""10:00-02:00 every day, sunday 12:00-02:0/""",48.8515725,2.3438953
